iter	Passed	Remaining
0	55	5499
1	56	2769
2	57	1858
3	58	1402
4	59	1127
5	60	944
6	61	813
7	62	723
8	63	645
9	64	584
10	66	534
11	67	492
12	68	456
13	69	425
14	70	398
15	71	373
16	72	352
17	73	333
18	74	318
19	75	303
20	77	289
21	81	289
22	82	276
23	83	265
24	84	254
25	85	244
26	86	234
27	87	225
28	88	217
29	89	209
30	90	202
31	91	195
32	93	188
33	94	183
34	95	177
35	96	171
36	97	166
37	98	160
38	99	155
39	100	151
40	101	146
41	102	141
42	103	137
43	104	133
44	105	128
45	106	124
46	107	121
47	108	117
48	109	113
49	110	110
50	111	106
51	111	103
52	112	100
53	113	97
54	114	94
55	115	91
56	116	88
57	117	85
58	118	82
59	119	79
60	120	77
61	121	74
62	122	71
63	123	69
64	124	66
65	125	64
66	126	62
67	127	59
68	128	57
69	129	55
70	129	53
71	130	50
72	131	48
73	132	46
74	133	44
75	134	42
76	135	40
77	136	38
78	137	36
79	138	34
80	139	32
81	140	30
82	141	28
83	142	27
84	143	25
85	144	23
86	145	21
87	146	19
88	147	18
89	148	16
90	150	14
91	151	13
92	152	11
93	153	9
94	154	8
95	155	6
96	155	4
97	156	3
98	157	1
99	158	0
